"Date","Google","bing","Yahoo!","Baidu","YANDEX RU","Shenma","DuckDuckGo","YANDEX","Naver","Haosou","Sogou","MSN","Daum","Seznam","Mail.ru","Qwant","CocCoc","Other"
2018-02,91.63,2.71,1.94,1.29,0.63,0.62,0.2,0.33,0.19,0.12,0.1,0.05,0.05,0.04,0.04,0.01,0.01,0.06
2018-03,91.24,3.07,2.13,1.5,0.68,0.22,0.25,0.23,0.19,0.16,0.09,0.02,0.06,0.04,0.04,0.01,0.01,0.06
2018-04,90.61,3.24,2.09,2.04,0.68,0.24,0.28,0.18,0.17,0.17,0.1,0,0.06,0.04,0.04,0.01,0.01,0.06
2018-05,90.14,3.24,2.08,2.18,0.62,0.58,0.28,0.18,0.17,0.13,0.12,0.01,0.1,0.04,0.04,0.01,0.01,0.07
2018-06,90.31,3.2,2.06,1.98,0.62,0.56,0.28,0.19,0.17,0.11,0.14,0.07,0.15,0.05,0.03,0.01,0.02,0.06
2018-07,90.46,3.13,2.21,1.94,0.61,0.39,0.27,0.23,0.16,0.11,0.1,0.1,0.13,0.04,0.03,0.01,0.02,0.06
2018-08,90.91,3.18,2.46,1.37,0.58,0.31,0.28,0.23,0.15,0.09,0.12,0.07,0.06,0.04,0.03,0.01,0.02,0.07
2018-09,92.31,2.27,2.51,0.85,0.61,0.18,0.33,0.31,0.18,0.08,0.1,0.08,0.02,0.04,0.04,0.01,0.02,0.06
2018-10,92.74,2.17,2.32,0.81,0.6,0.22,0.32,0.29,0.13,0.06,0.09,0.08,0.02,0.03,0.04,0.01,0.01,0.06
2018-11,92.37,2.37,2.25,0.96,0.63,0.22,0.36,0.3,0.13,0.07,0.08,0.1,0.01,0.03,0.04,0.02,0.01,0.06
2018-12,92.25,2.41,2.07,1.01,0.63,0.22,0.44,0.48,0.11,0.06,0.07,0.09,0.01,0.03,0.04,0.02,0.01,0.05
2019-01,92.86,2.41,1.82,0.89,0.59,0.19,0.41,0.35,0.1,0.05,0.06,0.12,0.01,0.03,0.03,0.02,0.01,0.05
2019-02,92.92,2.38,1.79,1.03,0.55,0.18,0.38,0.33,0.09,0.04,0.07,0.08,0.01,0.03,0.04,0.02,0.01,0.05
